gene	sampleB
EfM3.000010	8
EfM3.000020	14
EfM3.000030	7
EfM3.000040	3
EfM3.000050	41
EfM3.000060	77
EfM3.000070	96
EfM3.000080	55
EfM3.000090	5
EfM3.000100	115
EfM3.000110	52
EfM3.000120	12
EfM3.000130	0
EfM3.000140	1
EfM3.000150	40
EfM3.000160	27
EfM3.000170	25
EfM3.000180	5
EfM3.000190	131
EfM3.000200	28
EfM3.000210	129
EfM3.000220	2
EfM3.000230	5
EfM3.000240	32
EfM3.000250	3
EfM3.000260	10
EfM3.000270	63
EfM3.000280	1
EfM3.000290	46
EfM3.000300	18
EfM3.000310	39
EfM3.000320	14
EfM3.000330	57
EfM3.000340	36
EfM3.000350	65
EfM3.000360	200
EfM3.000370	50
EfM3.000380	16
EfM3.000390	101
EfM3.000400	145
EfM3.000410	4
EfM3.000420	9
EfM3.000430	33
EfM3.000440	147
EfM3.000450	5
EfM3.000460	32
EfM3.000470	21
EfM3.000480	36
EfM3.000490	42
EfM3.000500	43
EfM3.000510	128
EfM3.000520	259
EfM3.000530	247
EfM3.000540	103
EfM3.000550	8
EfM3.000560	51
EfM3.000570	112
EfM3.000580	37
EfM3.000590	74
EfM3.000600	63
EfM3.000610	74
EfM3.000620	63
EfM3.000630	37
EfM3.000640	0
EfM3.000650	100
EfM3.000660	8
EfM3.000670	186
EfM3.000680	1
EfM3.000690	92
EfM3.000700	74
EfM3.000710	56
EfM3.000720	138
EfM3.000730	13
EfM3.000740	104
EfM3.000750	30
EfM3.000760	49
EfM3.000770	103
EfM3.000780	32
EfM3.000790	150
EfM3.000800	41
EfM3.000810	7
EfM3.000820	20
EfM3.000830	22
EfM3.000840	29
EfM3.000850	60
EfM3.000860	29
EfM3.000870	32
EfM3.000880	9
EfM3.000890	73
EfM3.000900	20
EfM3.000910	19
EfM3.000920	104
EfM3.000930	266
EfM3.000940	74
EfM3.000950	1
EfM3.000960	29
EfM3.000970	226
EfM3.000980	53
EfM3.000990	136
EfM3.001000	9
