gene	sampleA
EfM3.000010	21
EfM3.000020	63
EfM3.000030	42
EfM3.000040	8
EfM3.000050	206
EfM3.000060	202
EfM3.000070	129
EfM3.000080	89
EfM3.000090	11
EfM3.000100	326
EfM3.000110	149
EfM3.000120	51
EfM3.000130	0
EfM3.000140	5
EfM3.000150	77
EfM3.000160	66
EfM3.000170	120
EfM3.000180	14
EfM3.000190	1060
EfM3.000200	57
EfM3.000210	876
EfM3.000220	1
EfM3.000230	24
EfM3.000240	67
EfM3.000250	4
EfM3.000260	14
EfM3.000270	174
EfM3.000280	6
EfM3.000290	68
EfM3.000300	24
EfM3.000310	85
EfM3.000320	36
EfM3.000330	142
EfM3.000340	107
EfM3.000350	134
EfM3.000360	322
EfM3.000370	147
EfM3.000380	3
EfM3.000390	333
EfM3.000400	237
EfM3.000410	25
EfM3.000420	35
EfM3.000430	314
EfM3.000440	214
EfM3.000450	8
EfM3.000460	42
EfM3.000470	38
EfM3.000480	78
EfM3.000490	127
EfM3.000500	125
EfM3.000510	228
EfM3.000520	416
EfM3.000530	626
EfM3.000540	207
EfM3.000550	12
EfM3.000560	168
EfM3.000570	524
EfM3.000580	102
EfM3.000590	101
EfM3.000600	207
EfM3.000610	344
EfM3.000620	116
EfM3.000630	109
EfM3.000640	1
EfM3.000650	163
EfM3.000660	18
EfM3.000670	285
EfM3.000680	1
EfM3.000690	295
EfM3.000700	199
EfM3.000710	204
EfM3.000720	366
EfM3.000730	45
EfM3.000740	139
EfM3.000750	41
EfM3.000760	103
EfM3.000770	314
EfM3.000780	66
EfM3.000790	142
EfM3.000800	157
EfM3.000810	24
EfM3.000820	28
EfM3.000830	22
EfM3.000840	64
EfM3.000850	112
EfM3.000860	52
EfM3.000870	86
EfM3.000880	2
EfM3.000890	124
EfM3.000900	77
EfM3.000910	34
EfM3.000920	290
EfM3.000930	909
EfM3.000940	266
EfM3.000950	16
EfM3.000960	130
EfM3.000970	414
EfM3.000980	95
EfM3.000990	336
EfM3.001000	14
